Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
US,United States of America (the),KRFI,Rusk County Airport,32.141701,-94.8517,Commercial Passenger,42,2818,8603,2315,25477,202671
US,United States of America (the),KRCX,Rusk County Airport,45.496799,-91.000504,Commercial Freighter,1,2350,57080,69,2272,26990
US,United States of America (the),KRCX,Rusk County Airport,45.496799,-91.000504,General Aviation,166,2403,4779,895,31214,1356893
US,United States of America (the),KRFI,Rusk County Airport,32.141701,-94.8517,General Aviation,1399,12071,37650,1274,268894,10988897
US,United States of America (the),KRUE,Russellville Regional Airport,35.259102,-93.0933,Commercial Passenger,96,7609,30068,7620,112877,439145
US,United States of America (the),KRUE,Russellville Regional Airport,35.259102,-93.0933,Commercial Freighter,1,838,6562,94,1660,6372
US,United States of America (the),KRUE,Russellville Regional Airport,35.259102,-93.0933,General Aviation,1055,12375,31874,2115,208565,9260182
US,United States of America (the),KRSN,Ruston Regional Airport,32.514187,-92.588517,Commercial Passenger,576,35609,161192,31231,934739,2918444
US,United States of America (the),KRSN,Ruston Regional Airport,32.514187,-92.588517,General Aviation,4272,36614,109783,4046,771578,33133971
US,United States of America (the),KFQD,Rutherford County Marchman Field,35.4282,-81.935097,Commercial Passenger,99,9892,81097,6965,61476,312767
US,United States of America (the),KFQD,Rutherford County Marchman Field,35.4282,-81.935097,General Aviation,3337,32539,90145,3956,637193,27704366
US,United States of America (the),KRUT,Rutland - Southern Vermont Regional Airport,43.5294,-72.9496,Commercial Passenger,472,30286,142754,32989,379424,1696772
US,United States of America (the),KRUT,Rutland - Southern Vermont Regional Airport,43.5294,-72.9496,Commercial Freighter,132,12420,19694,11530,12069,1058886
US,United States of America (the),KRUT,Rutland - Southern Vermont Regional Airport,43.5294,-72.9496,General Aviation,2543,44335,99297,2284,865137,41042942
