,Country,Airport Name,Airport Latitude,Airport Longitude,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g)
1111,Morocco,Menara Airport,31.606899261499997,-8.03629970551,24037,17682233,228700066
1115,United States of America (the),Merrill Field,61.212792,-149.843988,25247,417133,1438399
1119,United States of America (the),Merritt Island Airport,28.341600418099997,-80.6855010986,22268,198947,610605
1122,United States of America (the),Metropolitan Oakland International Airport,37.720085,-122.221184,73970,53636116,731115283
1126,United States of America (the),Miami Executive Airport,25.6479,-80.4328,61731,840289,3729706
1130,United States of America (the),Miami International Airport,25.79319953918457,-80.29060363769531,221515,222851428,3334093498
1134,United States of America (the),Miami-Opa Locka Executive Airport,25.907,-80.278397,26111,1152031,8163381
1138,China,Mianyang Nanjiao Airport,31.428101,104.740997,50390,10319176,128274638
1141,United States of America (the),Midland International Air and Space Port,31.942499,-102.202003,22157,6435534,68968603
1145,Italy,Milan Bergamo Airport / Antonio Locatelli Air Base,45.670725,9.709223,53122,36780328,479711100
1149,Italy,Milan Malpensa International Airport,45.6306,8.72811,98133,99572640,1500800272
1153,Italy,Milano Linate Airport,45.445099,9.27674,43914,32411340,428980186
1157,Argentina,Minister Pistarini International Airport,-34.8222,-58.5358,32609,40381635,657667087
1161,United States of America (the),Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,157875,118678482,1484879343
1165,Morocco,Mohammed V International Airport,33.3675,-7.58997,40541,34559331,473099340
1169,Mexico,Monterrey International Airport,25.778521,-100.106989,48840,38139436,545554622
1173,United States of America (the),Montgomery-Gibbs Executive Airport,32.8157,-117.139999,55789,657063,2284352
1177,Canada,Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,93294,76049949,1172307184
1181,Germany,Munich Airport,48.353802,11.7861,145100,131249746,1933543465
1185,Nigeria,Murtala Muhammed International Airport,6.5773701667785645,3.321160078048706,22634,24423149,393169687
1189,Oman,Muscat International Airport,23.5933,58.284401,48325,45314529,719324491
1193,United States of America (the),Myrtle Beach International Airport,33.679699,-78.928299,26917,11120286,140239857
1197,Spain,Málaga-Costa del Sol Airport,36.6749,-4.49911,72906,54440125,736197844
1201,Fiji,Nadi International Airport,-17.755399703979492,177.4429931640625,27476,10319529,162086078
1205,Japan,Naha Airport / JASDF Naha Air Base,26.195801,127.646004,63692,58888030,859598482
1209,China,Nanchang Changbei International Airport,28.864815,115.90271,42828,34114587,449749543
1213,China,Nanjing Lukou International Airport,31.735032,118.865949,106865,91092125,1249896512
1217,China,Nanning Wuxu Airport,22.608299,108.171997,53580,41957841,524028138
1221,France,Nantes Atlantique Airport,47.153198,-1.61073,24897,18445780,230341434
1225,Italy,Naples International Airport,40.886002,14.2908,42508,32732529,442223104
1229,United States of America (the),Naples Municipal Airport,26.1525993347,-81.7752990723,25101,552689,2840321
1233,Japan,Narita International Airport,35.764702,140.386002,105113,160320471,2710761794
1237,United States of America (the),Nashville International Airport,36.1245,-86.6782,115683,78034888,985800488
1241,United States of America (the),Naval Air Station Corpus Christi Truax Field,27.6926,-97.2911,21216,2070537,2699876
1244,India,Netaji Subhash Chandra Bose International Airport,22.654699,88.446701,69773,48152412,676706998
1248,Japan,New Chitose Airport,42.7752,141.692001,58285,64983496,1009445466
1252,United States of America (the),New Smyrna Beach Municipal Airport,29.0557,-80.948898,51915,467114,1462508
1255,United States of America (the),Newark Liberty International Airport,40.692501,-74.168701,218277,197868109,2930409806
1259,Australia,Newcastle Airport,-32.79499816894531,151.83399963378906,10193,4291565,49703188
1260,United Kingdom of Great Britain and Northern Ireland (the),Newcastle Airport,55.037958,-1.689577,20628,13168751,168190416
1267,Indonesia,Ngurah Rai (Bali) International Airport,-8.74817,115.167,67666,67969987,1105478353
